"","q5r1","q56","TechAttitudeMean","TechUseSocialMean","ShoppingAttitudeMean","SocialWebMean","RadioWebMean","VideoWebMean","LeaderMean","TVApp","NewsApp","Music","Entertainment","Gaming","SocialNet","ShoppingApp","OtherApps","Clusters","age"
"68",1,8,2,1.75,1.54545454545455,1.75,1.5,1,1.5,1,2,1,1,0,1,1,0,"4",3
"69",0,6,2,2,2.18181818181818,1.25,2.5,1.5,2,2,1,1,1,1,0,0,0,"3",8
"70",1,7,3.2,2.75,2.81818181818182,3.25,3.25,3.25,2.33333333333333,0,1,1,1,1,1,0,0,"2",6
"71",0,3,1.8,2,1.81818181818182,2,3,2.25,1.58333333333333,2,1,1,0,1,1,0,0,"2",4
"72",1,7,3,2.75,4.63636363636364,2.75,3.5,2.75,2.5,0,0,1,1,0,1,0,0,"1",5
"73",0,14,1.4,2.5,4.27272727272727,4,4,4,1.83333333333333,0,0,1,0,0,0,1,0,"3",9
"74",0,8,3.8,3.5,3.90909090909091,4,3,3,3.16666666666667,0,1,1,0,0,0,0,1,"3",10
"75",0,5,1.8,3,2.81818181818182,2.5,3,1.75,1.91666666666667,1,0,1,1,1,1,1,0,"4",3
"76",1,7,2.2,2.75,3.27272727272727,2.75,2,1.75,2,1,1,1,0,1,1,1,0,"2",3
"77",0,11,3.2,2.75,3.36363636363636,4,3.5,3.25,3.16666666666667,0,1,0,0,1,0,1,0,"3",7
"78",0,12,1.4,2.75,5.63636363636364,2.5,3.75,3.25,2.25,0,0,1,1,1,1,0,0,"2",4
"79",0,12,1.2,1.75,1.72727272727273,1,3,2.75,1.16666666666667,1,2,0,1,0,1,1,0,"4",11
"80",0,8,3.2,3.5,4.09090909090909,2,3,2.25,3,0,1,1,1,1,1,0,0,"2",2
"81",1,4,2.4,2.25,3.27272727272727,3,3.5,2.75,1.91666666666667,0,1,0,1,1,1,1,0,"4",4
"82",0,11,4.4,4,4.09090909090909,3.25,3.5,3.5,3.5,0,0,0,1,1,0,0,0,"3",3
"83",0,6,2,2,3.54545454545455,2.25,2,2,1.66666666666667,0,1,1,1,1,1,1,0,"4",4
"84",1,11,4,4,3.18181818181818,3.25,4,3.5,3.08333333333333,0,1,0,0,1,1,1,0,"1",7
"85",1,14,2.6,2.25,3.09090909090909,3.25,3.75,3.25,1.66666666666667,1,2,0,1,1,1,1,0,"4",7
"86",1,12,2.8,3.25,2.36363636363636,3.25,3.5,3,2.58333333333333,0,0,1,0,1,1,0,0,"2",3
"87",1,6,3.4,2.75,3.90909090909091,1.75,3.75,2.25,2.66666666666667,1,0,1,0,1,1,0,0,"2",3
"88",1,7,3.2,3.5,3.27272727272727,3.75,3,2.5,2.83333333333333,1,0,0,0,1,1,0,0,"1",2
"89",1,14,2.4,3,2.90909090909091,3.25,4,3.5,1.83333333333333,0,0,1,0,0,1,0,0,"1",7
"90",1,14,2.8,2,2.36363636363636,2.5,3.5,2.75,2.08333333333333,0,2,1,0,0,1,1,1,"3",10
"91",1,13,2.8,1.75,4.18181818181818,2.5,3.25,2.25,2,1,2,1,1,1,1,1,0,"4",6
"92",0,5,3.6,2.75,3.27272727272727,3.25,4,3.25,2.91666666666667,0,2,1,0,1,0,0,0,"3",9
"93",0,5,2,2.5,2.36363636363636,1,2.25,1.5,2.08333333333333,1,0,1,1,1,1,1,0,"4",3
"94",1,11,1.4,1.75,1.27272727272727,2.5,2,1.75,1.25,0,2,1,1,1,1,1,0,"4",5
"95",0,3,3,2,1.63636363636364,2,4,2,2.08333333333333,1,0,1,0,1,1,0,0,"2",2
"96",1,9,2.6,4,2.72727272727273,3.25,3.25,3.25,2.66666666666667,0,2,1,1,0,1,1,0,"3",4
"97",0,7,1.8,1.75,2.18181818181818,2.5,2.75,2.75,1.41666666666667,1,2,1,1,1,1,0,0,"4",3
"98",1,1,2.8,2,3.18181818181818,3.25,3.25,3.5,2.08333333333333,0,0,1,0,1,1,1,0,"2",2
"99",1,8,1,1.25,1.54545454545455,2.5,2.5,2.5,0.916666666666667,0,0,0,1,1,1,0,0,"4",5
"100",1,4,2.8,2.25,4.54545454545455,2.25,3,2.25,1.83333333333333,0,2,1,1,1,1,1,0,"4",3
"101",1,6,2.2,1.75,3.54545454545455,2.5,1.75,1.75,1.66666666666667,1,2,1,1,1,1,1,0,"4",4
"102",1,5,2.4,2.75,3,3.5,4,4,2.25,0,0,1,0,1,1,1,0,"2",7
"103",1,9,2.6,3,2.54545454545455,2.75,3.5,3,2.25,0,2,0,0,0,1,0,0,"1",8
"104",1,13,1,1.25,1.36363636363636,1.25,1.75,1.5,1,2,2,1,1,1,1,1,0,"4",3
"105",1,12,2.2,1.75,3.54545454545455,2,4,2,1.66666666666667,1,2,1,1,1,1,1,0,"4",6
"106",1,9,1.4,2.25,2.18181818181818,3.25,3.5,2.25,1.66666666666667,0,2,1,1,1,1,1,0,"4",4
"107",1,5,2.2,3,3.09090909090909,3.25,3,3.5,2.33333333333333,0,0,1,0,1,1,0,0,"2",3
"108",0,12,2,2.5,2.63636363636364,2.75,3.25,2.5,1.75,0,0,0,1,1,1,0,0,"1",2
"109",0,7,2.4,2.25,3.09090909090909,2.5,3.25,3.25,2.25,0,0,1,1,1,1,0,0,"2",4
"110",0,4,3.8,2.5,3.18181818181818,4,4,2.5,3.08333333333333,1,0,1,1,1,0,0,0,"3",3
"111",1,5,1,1,1,1,1,1,0.833333333333333,2,2,1,1,1,1,1,0,"4",9
"112",0,9,3,3,3,3.5,3,3,2.5,0,1,1,1,1,1,1,0,"4",2
"113",1,7,2.6,2,4.54545454545455,3.25,3,3.25,1.83333333333333,0,2,1,0,1,1,0,0,"2",11
"114",0,5,3.8,2.25,4.27272727272727,3.25,3.25,2.75,2.41666666666667,0,0,1,0,1,1,1,1,"3",10
"115",1,7,2.8,2.75,2.90909090909091,3,3.75,2.25,2.41666666666667,1,0,0,0,1,1,0,0,"1",4
"116",1,13,1.8,2,1.18181818181818,2,2.25,1.75,1.5,2,2,0,0,0,0,0,0,"4",4
"117",0,6,1.4,1.25,1.09090909090909,1.75,1.5,1,1.16666666666667,0,0,1,1,0,1,1,0,"4",3
"118",1,14,1.6,2.5,2.54545454545455,2.5,3.75,2.5,1.58333333333333,0,0,1,1,1,1,0,0,"2",1
"119",0,14,2.2,2.25,2.72727272727273,2.5,4,2.5,1.83333333333333,0,1,1,1,1,1,1,0,"4",3
"120",1,14,2.8,2.5,3.36363636363636,3.25,4,2.75,2.5,0,1,1,0,0,0,1,1,"3",10
"121",0,9,1.8,1.25,2.18181818181818,3.25,3.25,2.75,1.25,0,0,0,1,0,1,0,0,"1",2
"122",1,12,1.4,1.75,2,2.5,2.25,2.5,1.25,0,1,1,1,1,1,1,0,"4",3
"123",1,5,3,3.25,4.63636363636364,4,3.5,3,3,0,0,1,0,1,0,1,0,"3",4
"124",1,14,2.6,4.25,3,1.75,3.75,2,2.58333333333333,0,1,1,1,1,1,1,0,"4",2
"125",0,12,2,2.5,3.63636363636364,3.25,4,3,1.5,0,0,0,0,1,1,0,0,"1",7
"126",1,14,3.4,2.5,3.18181818181818,2,3.5,3,2.08333333333333,0,0,0,0,1,1,0,0,"1",8
"127",0,6,2,2,2,2.75,3,2.5,1.41666666666667,0,2,1,0,1,1,0,0,"2",4
"128",1,12,2.6,4.5,4.09090909090909,4,2.25,4,3.33333333333333,0,1,1,0,1,0,0,0,"3",9
"129",1,12,3.8,4,4.09090909090909,3.75,4,4,3.25,0,0,1,0,1,1,0,0,"2",5
"130",1,5,2,2,2.45454545454545,1.5,1.75,1.5,1.75,1,1,1,1,1,1,0,0,"2",5
"131",1,3,2.4,2.5,2.81818181818182,2.5,3.25,3,2.25,1,1,1,1,1,1,1,0,"4",5
"132",0,6,3.2,4.25,3.09090909090909,1.75,3.25,3,2.83333333333333,0,0,0,0,0,1,0,1,"3",8
"133",1,7,2.6,2.5,3,3.25,3.5,2.75,1.83333333333333,0,1,0,0,1,1,1,0,"1",5
"134",0,1,2.6,1.75,3,3.75,4,3.5,2.16666666666667,0,0,1,0,0,0,1,0,"3",6
"135",1,5,4,2.25,3.63636363636364,3.25,2.25,2.5,2.58333333333333,0,2,1,0,1,1,0,0,"2",4
"136",0,1,3,3.25,3.36363636363636,2,2.75,2.5,2.66666666666667,0,0,0,0,1,0,0,0,"3",3
"137",0,11,2.8,2.5,3.54545454545455,3.75,3.25,3.75,2.58333333333333,0,0,1,0,0,0,0,0,"3",7
"138",0,6,3.4,2.75,3.36363636363636,3.25,3.5,3.25,2.41666666666667,0,0,0,1,1,1,1,0,"1",4
"139",0,14,3.4,3.5,4.18181818181818,3.25,4,3.25,2.91666666666667,0,1,1,0,0,1,1,0,"3",10
"140",1,14,3.8,2.75,1.90909090909091,1.75,3.75,2.5,2.66666666666667,0,2,1,0,1,1,1,0,"2",6
"141",0,9,1,1,1,1.5,2,3,0.833333333333333,1,2,1,1,1,1,1,0,"4",9
"142",1,3,2.4,3,1.81818181818182,1.75,3.25,2.5,2.41666666666667,0,1,1,1,1,1,0,0,"2",2
"143",1,6,3,1.75,3.18181818181818,2,3.25,2.5,1.83333333333333,1,2,0,1,0,1,0,0,"1",8
"144",1,14,3.2,2.75,2.72727272727273,2.25,2.75,2.75,2.66666666666667,0,2,1,0,1,1,1,0,"2",3
"145",1,8,2.4,2.25,2.09090909090909,2.25,3.25,2.5,2,1,2,0,0,1,1,1,0,"2",11
"146",0,8,3,2.25,1.63636363636364,1.25,1.5,1.5,2.08333333333333,2,1,1,1,1,1,1,0,"4",4
"147",0,12,2,2.5,2.90909090909091,2,2.75,2.25,1.75,2,1,1,1,1,1,1,0,"4",5
"148",1,14,2.8,2.5,2.63636363636364,3.25,2.75,2.25,2.25,0,1,1,1,1,1,1,0,"4",4
"149",1,10,3.6,2.25,2.18181818181818,2.5,3.5,2.5,2.41666666666667,0,1,1,0,0,1,0,0,"1",6
"150",0,13,2.4,1.75,2.63636363636364,3.25,4,3.5,1.75,0,0,1,0,1,1,0,0,"2",3
"151",1,12,1.4,1.5,1.18181818181818,2,2,1.75,1.41666666666667,0,0,0,0,1,1,0,0,"4",3
"152",0,10,2,2.25,3,3,3.25,3.25,1.91666666666667,0,1,1,0,0,1,1,0,"3",3
"153",0,3,2.2,2,3.54545454545455,1.75,2,1.25,1.75,2,2,1,1,1,1,1,1,"3",2
"154",1,12,3,1.25,2.45454545454545,2.25,3.25,2.25,1.75,0,1,0,0,1,1,1,0,"2",6
"155",1,7,3.4,3.5,3.54545454545455,2.75,3.5,3.25,2.5,0,2,1,0,1,1,1,0,"2",6
"156",0,5,1,1,1,1,1,1,0.833333333333333,0,0,1,0,0,0,0,0,"4",3
"157",1,10,2.4,2,1.09090909090909,2.25,1.25,3,1.83333333333333,0,1,1,0,1,1,0,0,"2",4
"158",1,12,2.8,2,3.63636363636364,3.25,3.25,3.25,2.25,0,1,1,0,1,1,1,1,"3",6
"159",0,12,2,1.75,1.63636363636364,1.5,2.75,1.25,1.5,2,1,1,1,1,1,1,0,"4",2
"160",0,11,2.4,2.25,2,1.5,2,2,1.83333333333333,1,2,1,1,1,1,0,0,"4",4
"161",0,1,1.4,5,2.09090909090909,3.25,4,3.25,2.58333333333333,0,0,1,1,1,1,0,0,"1",2
"162",1,8,2.8,2,2.36363636363636,2.25,3.5,2.5,1.91666666666667,0,0,0,1,1,0,0,0,"3",8
"163",1,9,2,2.25,2.81818181818182,1.5,3.5,2.75,1.75,0,1,1,1,1,1,1,0,"4",4
"164",0,4,3,3.25,3.36363636363636,2.75,2.75,3.75,2.66666666666667,0,0,1,1,1,1,1,0,"4",4
"165",0,11,3.4,1.5,3.27272727272727,2.75,3.25,2.75,2.08333333333333,0,1,1,0,0,1,1,1,"3",8
"166",0,10,2.4,2.5,1.63636363636364,2.25,3.25,3,1.75,0,0,0,1,1,1,0,0,"1",5
"167",0,2,2.2,1.75,3.72727272727273,2.5,3.75,3.25,1.75,0,0,1,1,1,1,0,0,"2",3
"168",1,6,1.2,2.25,2.36363636363636,3,2.5,2,1.58333333333333,0,1,1,0,0,1,0,0,"1",3
"169",1,9,2.8,3.75,4.09090909090909,3.5,2.75,3.25,3.08333333333333,0,1,0,0,1,0,0,0,"3",8
"170",0,10,2.4,2.5,2.36363636363636,2.75,4,2,2.08333333333333,0,0,1,0,1,1,0,0,"2",4
"171",1,11,2.6,2.75,2.81818181818182,1.75,3.25,2.5,2.41666666666667,1,0,1,0,1,1,1,0,"2",3
"172",1,14,2.6,2.25,2.45454545454545,1.5,2,2.75,1.91666666666667,2,2,1,1,1,1,1,0,"4",9
"173",0,14,2.6,2.25,1.90909090909091,1.75,3,1,1.91666666666667,1,2,1,1,1,1,1,0,"4",5
"174",1,10,3.2,2,2.72727272727273,2.5,2.5,2.5,2.08333333333333,0,2,1,1,1,1,1,0,"4",7
"175",1,13,2.6,3.25,3,2.75,2.75,3.5,2.25,0,1,1,0,1,1,1,0,"2",6
"176",1,4,4.2,3.5,2.90909090909091,3,3,2.5,2.91666666666667,1,0,1,0,1,1,1,0,"2",2
"177",1,14,3,2.25,2.72727272727273,2.75,3.5,2.5,1.91666666666667,1,1,1,0,1,1,0,0,"2",6
"178",1,5,2.4,2,1.27272727272727,1,1.25,1.25,1.75,2,2,1,1,1,1,1,1,"4",5
"179",1,7,3,2.25,1.45454545454545,1,1.5,1,2.08333333333333,2,2,1,1,1,1,1,0,"4",6
"180",1,4,1.8,1.75,2.27272727272727,1.5,2.25,2,1.58333333333333,0,1,1,1,1,1,1,0,"4",2
"181",0,12,3.8,3.25,4.09090909090909,3.25,3.5,3.25,3.25,0,0,0,0,0,0,1,0,"3",2
"182",0,12,3.4,3.25,3.81818181818182,3.25,3,3,2.5,0,0,0,0,1,1,0,0,"1",6
"183",1,9,1.4,2,3.18181818181818,3.75,3,2.25,1.75,0,0,1,1,0,0,1,0,"3",2
"184",0,7,2.4,2.5,1.63636363636364,3.25,3.25,2.75,2,0,0,0,0,0,0,0,0,"3",2
"185",0,3,1.2,1.75,1.54545454545455,2,2.5,3.25,1.41666666666667,1,0,1,1,1,0,0,0,"3",3
"186",1,14,2.8,3,2.81818181818182,2.75,3,3.25,2.25,0,1,0,1,1,1,1,0,"4",7
"187",1,8,2,3.75,4.18181818181818,2.5,2.25,2,2.41666666666667,1,1,1,0,1,1,0,0,"2",8
"188",1,2,2.2,3.75,3.36363636363636,2.75,3.5,2.5,2.58333333333333,0,1,1,1,1,0,0,0,"3",2
"189",1,7,1.4,2,1.90909090909091,2,2.75,2.25,1.58333333333333,0,1,0,0,1,1,1,0,"2",2
"190",0,1,2.8,2.75,3.45454545454545,2.5,4,3.25,2.08333333333333,0,0,0,0,0,1,0,0,"1",2
"191",1,5,3.2,4,3.63636363636364,3,3.5,3.25,3.08333333333333,0,0,1,1,0,1,1,0,"1",4
"192",1,8,2.2,1.5,2.09090909090909,3.25,3.25,1.75,1.5,0,0,1,0,1,1,1,0,"2",5
"193",0,14,2.6,3,2.36363636363636,2.75,3.75,2.5,2.41666666666667,0,2,0,1,0,1,0,0,"1",3
"194",0,6,2.4,2.75,2.36363636363636,1,1.5,2,2.25,0,0,1,1,0,1,0,0,"3",6
"195",1,5,1.6,3,3.63636363636364,2.75,3.25,1.75,2.08333333333333,2,0,1,0,1,1,0,0,"2",2
"196",1,7,2,2.75,2.81818181818182,2.25,3.5,3.5,2.16666666666667,0,0,0,0,0,1,0,0,"1",7
"197",1,1,2.6,2.25,1.90909090909091,2.25,3.25,2.75,2.16666666666667,1,0,1,1,0,0,0,0,"3",2
"198",1,6,1.4,2.25,3.63636363636364,3.5,3.25,3.25,1.66666666666667,0,0,1,0,1,1,0,0,"2",1
"199",1,13,3,2.75,3.72727272727273,2.5,3.5,2.25,2.41666666666667,0,0,1,0,1,1,0,0,"2",5
"200",0,14,2.6,2.25,3,4,3.5,4,2.33333333333333,0,2,1,0,1,0,1,0,"3",11
"201",1,10,3,2.25,2.90909090909091,2.25,2.75,2.5,2.08333333333333,1,0,1,0,1,1,0,0,"2",7
"202",0,14,1.8,2,3.27272727272727,2.75,3.25,2.5,1.75,0,1,1,0,1,1,1,0,"1",6
"203",1,11,3,2.25,2.45454545454545,2.25,4,2.25,2.25,2,2,1,0,0,1,1,0,"3",8
"204",1,2,2,2,1.81818181818182,2.75,3.25,3.25,1.58333333333333,2,0,1,1,0,1,0,0,"4",2
"205",0,6,2.8,2.75,2.90909090909091,2.75,3.5,3,2.16666666666667,0,1,1,0,1,1,1,0,"2",8
"206",0,6,2.4,1.5,2.09090909090909,2.25,3.5,2.75,1.41666666666667,0,0,1,0,1,1,0,0,"2",5
"207",1,7,1.6,2.75,1.72727272727273,1.75,2,2,1.83333333333333,2,2,1,1,1,1,1,0,"4",3
"208",1,5,3.8,2.75,2.72727272727273,3.25,4,3.5,2.83333333333333,0,0,0,1,1,1,0,0,"1",4
"209",1,6,1.8,1.75,1.81818181818182,1.75,2.75,2.25,1.66666666666667,1,1,0,1,1,1,1,0,"4",6
"210",0,13,3.4,2.5,3.54545454545455,4,3.5,4,2.58333333333333,0,1,1,0,1,0,1,1,"3",7
"211",0,6,2,2,2.72727272727273,2.5,3.5,2.5,1.25,0,1,1,0,1,1,0,0,"2",3
"212",0,10,2.8,3,4.09090909090909,3.75,3,2.5,2.33333333333333,0,2,0,0,0,0,0,0,"3",6
"213",1,11,3,3,3,2.75,2.75,2.25,2.75,1,0,1,1,1,1,1,0,"4",2
"214",0,13,2.8,2.25,4.27272727272727,2.5,3,2.5,2,0,0,1,0,1,1,0,0,"2",2
"215",1,13,2,3,3.54545454545455,3.25,2.75,3,1.91666666666667,0,2,1,0,0,1,0,0,"1",7
"216",1,12,2.8,3.75,2.63636363636364,3.25,3.75,3.5,2.91666666666667,0,1,1,0,1,1,0,0,"2",9
"217",1,14,2,2.75,2.18181818181818,1,1.75,1.75,2,2,2,1,1,1,1,1,0,"4",5
"218",0,9,1,1,1.90909090909091,2,2.75,2.25,0.833333333333333,2,2,1,1,1,1,1,0,"4",4
"219",1,9,3.4,2.75,4.54545454545455,3.25,4,2.75,2.83333333333333,0,2,1,0,0,1,1,1,"3",7
"220",0,14,1.2,2.25,2.36363636363636,3.25,3.25,3.25,1.41666666666667,0,0,0,0,1,0,0,0,"3",2
"221",1,14,3.2,2.5,2.81818181818182,2.75,3.5,3.5,2.5,0,1,0,1,1,1,1,0,"4",7
"222",1,7,3.4,4,3.54545454545455,3,3,3.25,3.25,0,2,1,1,0,1,0,1,"3",7
"223",0,5,3.2,2.25,3,2.25,2.75,3,2,0,2,1,0,1,1,1,0,"2",8
"224",1,7,1,1,1,1,1,1,0.833333333333333,0,0,0,0,0,0,1,0,"4",2
"225",0,14,2.4,3,3.63636363636364,3,4,3.5,2.33333333333333,0,2,1,0,1,1,1,0,"4",9
"226",1,2,3,3.25,2.27272727272727,3.25,3.5,3.75,2.66666666666667,0,1,1,1,1,1,0,0,"2",6
"227",1,5,3.8,4,4.72727272727273,4,3.75,2.75,3.41666666666667,1,2,1,1,1,1,1,0,"2",9
"228",1,8,2.4,2.5,2.63636363636364,2.75,2.25,1.75,2.16666666666667,0,0,1,1,1,1,0,1,"3",4
"229",0,4,2.8,2.75,2.18181818181818,3,3.25,3.5,2.16666666666667,0,0,0,0,1,1,0,0,"1",2
"230",0,1,1.8,2.25,3.18181818181818,3,3.25,3.25,1.83333333333333,0,0,1,0,1,1,0,0,"2",3
"231",1,14,3,3,2.72727272727273,2.5,2.75,2.25,2.5,2,2,1,1,1,1,1,0,"4",3
"232",1,4,3.4,2.75,3.54545454545455,3,3.75,2.5,2.66666666666667,0,1,0,0,1,1,0,1,"3",9
