CaseID,q1,q4r1,q4r2,q4r3,q4r4,q4r5,q4r6,q4r7,q4r8,q4r9,q4r10,q4r11,q56,q57,TechAttitudeMean,TechUseSocialMean,ShoppingAttitudeMean,SocialWebMean,RadioWebMean,VideoWebMean,LeaderMean,Clusters
431,2,1,0,1,0,1,1,0,1,0,1,0,5,1,1,1,1,2.5,2.75,2.75,0.833333333,6
550,3,0,0,0,0,0,0,0,0,0,0,1,5,1,2.2,4,4.5,3.25,4,3.5,2.833333333,8
2146,3,1,0,0,0,1,1,1,1,0,0,0,4,2,2.6,3,2,2.75,3.5,3.5,2.5,3
256,2,0,0,0,0,1,1,0,1,1,0,0,5,2,2,2.25,3.7,3,4,3.25,1.5,2
2329,4,1,0,0,0,1,1,1,0,0,0,0,9,2,2.4,2,2.1,2.25,3.5,2,2.25,3
1833,6,1,0,0,0,1,1,0,1,0,0,0,9,1,2.8,1.5,2.3,2.5,4,2.5,1.833333333,3
720,3,1,0,1,0,1,1,1,1,0,0,0,5,1,2.2,2.75,2.1,3,3.25,2,2,7
1230,6,0,0,0,0,0,1,1,0,0,1,0,9,1,2,3,3,3.25,3.25,2.75,1.916666667,6
139,2,0,0,0,0,0,1,1,0,0,0,0,1,1,1,3.5,3,1.5,3.25,1.75,1.833333333,1
1099,2,1,0,1,0,1,1,1,0,0,0,0,6,2,1,1,2.5,3.25,2.75,3.25,0.833333333,2
1397,3,1,0,0,0,0,1,0,0,0,0,0,9,2,1.8,1.5,3,3.25,3.5,3.5,1.666666667,3
1378,2,1,0,1,0,1,1,1,1,1,0,0,1,1,3.2,2,2.2,1.5,3.25,2,2.083333333,7
2109,2,1,0,1,1,1,1,1,1,0,0,0,4,2,2.2,1.75,2.6,2.75,4,1.75,1.916666667,7
2307,4,1,0,0,0,1,1,1,0,0,0,0,7,1,2.4,2.75,3.1,2.75,3.5,3.25,2.416666667,3
1103,4,1,0,1,0,1,1,1,0,0,0,0,5,2,3.2,2.75,3.8,3,2.75,2.75,2.333333333,2
610,2,1,0,0,1,0,1,0,0,0,0,0,6,2,1.8,2.75,2.5,3,3.5,3.25,2,1
1543,3,1,0,1,0,1,1,1,0,0,0,0,9,2,3.2,1.5,4.9,2.75,3.25,2.75,2.166666667,2
1373,8,1,0,1,0,0,1,1,0,0,0,0,1,2,3,3.25,4.3,2.75,3.5,3,2.666666667,1
1375,3,1,0,0,0,1,1,0,1,0,0,0,12,1,1.8,2.25,1.5,2.75,3.5,2.5,1.416666667,3
1428,9,1,0,0,0,0,1,1,1,1,0,0,14,2,2.6,2,3.1,3.5,3.75,2.75,2.333333333,1
2242,3,1,0,0,0,0,1,1,1,0,0,0,11,1,3.2,4,2.3,3,3,3,3,1
1588,3,1,0,0,0,1,1,0,1,0,0,0,7,2,2.8,2.75,4.4,2.25,3,2.25,2.5,3
1193,3,0,0,0,0,1,1,1,0,1,0,0,6,2,3,2.75,4.2,3.5,4,3.25,2.25,2
1553,5,1,1,0,1,1,1,0,1,1,0,0,12,1,1.8,2,4.4,2.75,3.25,2.75,1.75,4
568,4,1,0,0,0,1,1,0,0,0,0,0,7,1,2.4,2.75,4.5,2.5,3.25,2.25,2.333333333,3
1731,7,1,0,0,0,1,1,1,1,1,0,0,11,2,3.2,2.25,1.8,2,2.75,2,2.25,3
1860,7,1,0,0,0,1,1,0,0,0,0,0,14,1,2.8,3,2.8,3,4,3.25,2.416666667,3
163,2,1,0,0,0,0,1,1,1,0,0,0,8,1,3.4,3,2.6,3.25,3.25,2.75,2.833333333,1
24,7,0,0,0,0,1,0,1,1,1,0,0,7,2,2.4,2.5,3.4,3,2.5,2.5,2.5,2
2347,5,1,0,1,0,1,1,1,0,1,0,0,7,1,2.4,2.5,2.2,3.25,2.25,3.5,2,7
493,4,0,0,1,0,1,1,0,0,0,0,0,6,2,3.6,3,3.6,3.5,3.25,3.5,2.916666667,5
306,2,0,0,1,1,1,1,0,1,0,0,0,7,2,2.6,2,2.7,2.5,2.75,3.25,1.833333333,2
862,3,0,0,0,0,1,1,0,1,0,0,0,11,1,3.6,2.5,2,3.25,3.25,3,2.5,2
413,4,0,0,1,1,1,1,1,1,1,0,0,9,2,1.4,1.25,1,2.75,3,1.75,1.5,4
616,2,1,0,0,0,1,1,1,0,0,0,0,2,2,1,2.25,3,2.5,2.5,3.25,1.25,3
1074,2,1,0,0,0,1,1,1,0,1,1,0,9,2,2.2,2.75,3,2.25,3,2.5,1.833333333,6
1114,2,1,0,0,0,0,0,0,0,0,0,0,2,2,3.6,3.25,3.1,2,2,1.75,2.833333333,5
1031,2,1,0,0,0,1,1,0,0,0,0,0,9,1,3.2,3.25,2.5,2.5,3.5,2.5,2.666666667,3
12,3,1,0,0,0,1,1,0,0,0,1,0,2,1,2.2,3,3.6,3.25,3.5,2.75,2.083333333,6
1245,2,1,0,1,1,1,1,1,1,0,0,0,6,1,1,1,1.7,2.75,3,2.5,0.833333333,7
1354,1,1,0,0,1,1,1,1,0,0,0,0,11,2,2.6,3.75,4.2,2.5,4,3.25,3.333333333,2
710,3,1,0,1,1,0,1,1,1,1,0,0,8,1,2,1.75,1.5,1.75,1.5,1,1.5,7
530,8,1,1,1,1,1,0,0,0,1,0,0,6,1,2,2,2,1.25,2.5,1.5,2,4
1663,6,1,0,1,0,1,1,0,0,1,0,0,7,2,3.2,2.75,3,3.25,3.25,3.25,2.333333333,2
1564,4,1,1,0,1,1,1,0,0,1,0,0,3,2,1.8,2,1.9,2,3,2.25,1.583333333,4
2382,5,1,0,1,0,0,1,0,0,0,0,0,7,1,3,2.75,4.9,2.75,3.5,2.75,2.5,1
1289,9,1,0,0,0,0,0,0,1,0,0,0,14,1,1.4,2.5,4.1,4,4,4,1.833333333,1
1248,10,1,0,0,0,0,0,1,0,0,1,0,8,2,3.8,3.5,3.7,4,3,3,3.166666667,6
1687,3,1,0,1,1,1,1,0,1,0,0,0,5,2,1.8,3,3,2.5,3,1.75,1.916666667,7
2123,3,1,0,0,1,1,1,1,1,0,0,0,7,2,2.2,2.75,3.3,2.75,2,1.75,2,7
999,7,0,0,0,0,1,0,1,1,0,0,0,11,1,3.2,2.75,3.1,4,3.5,3.25,3.166666667,1
852,4,1,0,1,0,1,1,0,0,0,0,0,12,2,1.4,2.75,6,2.5,3.75,3.25,2.25,3
31,11,0,0,1,1,0,1,1,1,1,0,0,12,2,1.2,1.75,1.8,1,3,2.75,1.166666667,6
245,2,1,0,1,0,1,1,1,0,0,0,0,8,2,3.2,3.5,4.1,2,3,2.25,3,3
1138,4,0,0,1,0,1,1,0,1,1,0,0,4,1,2.4,2.25,3.4,3,3.5,2.75,1.916666667,2
646,3,0,0,1,0,1,0,0,0,0,0,0,11,2,4.4,4,4.4,3.25,3.5,3.5,3.5,5
453,4,1,0,1,0,1,1,1,1,0,0,0,6,1,2,2,3.7,2.25,2,2,1.666666667,7
842,7,0,0,0,0,1,1,1,1,0,0,0,11,1,4,4,3.4,3.25,4,3.5,3.083333333,5
1162,7,0,0,1,1,1,1,1,1,1,0,0,14,1,2.6,2.25,3.2,3.25,3.75,3.25,1.666666667,7
2225,3,1,0,0,0,1,1,0,0,0,0,0,12,1,2.8,3.25,2.5,3.25,3.5,3,2.583333333,3
2078,3,1,1,0,0,1,1,0,0,0,0,0,6,2,3.4,2.75,4.1,1.75,3.75,2.25,2.666666667,4
519,2,0,1,0,0,1,1,0,0,0,0,0,7,2,3.2,3.5,3.3,3.75,3,2.5,2.833333333,2
1572,7,1,0,0,0,0,1,0,0,0,0,0,14,2,2.4,3,3.1,3.25,4,3.5,1.833333333,1
1755,10,1,0,0,0,0,1,1,1,1,1,0,14,2,2.8,2,2.5,2.5,3.5,2.75,2.083333333,6
2038,6,1,0,1,1,1,1,1,1,1,0,0,13,1,2.8,1.75,4.3,2.5,3.25,2.25,2,7
1611,9,1,0,0,0,1,0,1,0,1,0,0,5,2,3.6,2.75,3.1,3.25,4,3.25,2.916666667,1
1091,3,1,0,1,1,1,1,0,1,0,0,0,5,2,2,2.5,2.2,1,2.25,1.5,2.083333333,7
269,5,1,0,1,0,1,1,1,1,1,0,0,11,2,1.4,1.75,1.3,2.5,2,1.75,1.25,7
1371,2,1,0,0,1,1,1,0,0,0,0,0,3,2,3,2,1.6,2,4,2,2.083333333,3
1576,4,1,0,1,0,0,1,1,1,1,0,0,9,1,2.6,4,2.9,3.25,3.25,3.25,2.666666667,6
324,3,1,0,1,1,1,1,1,0,1,0,0,7,1,1.8,1.75,2.3,2.5,2.75,2.75,1.416666667,7
1390,2,1,0,0,0,1,1,0,1,0,0,0,1,2,2.8,2,3.3,3.25,3.25,3.5,2.083333333,3
133,5,0,0,1,0,1,1,0,0,0,0,0,8,2,1,1.25,1.6,2.5,2.5,2.5,0.916666667,2
2006,3,1,0,1,0,1,1,1,1,1,0,0,4,2,2.8,2.25,4.7,2.25,3,2.25,1.833333333,3
2224,4,1,0,1,1,1,1,1,1,1,0,0,6,2,2.2,1.75,3.6,2.5,1.75,1.75,1.666666667,7
1530,7,1,0,0,0,1,1,0,1,0,0,0,5,1,2.4,2.75,3,3.5,4,4,2.25,3
989,8,0,0,0,0,0,1,1,0,1,0,0,9,1,2.6,3,2.6,2.75,3.5,3,2.25,1
596,3,1,1,1,1,1,1,1,1,1,0,0,13,2,1,1.25,1.3,1.25,1.75,1.5,1,4
1312,6,1,0,1,1,1,1,1,1,1,0,0,12,2,2.2,1.75,3.6,2,4,2,1.666666667,7
1608,4,1,0,1,0,1,1,1,1,1,0,0,9,1,1.4,2.25,2,3.25,3.5,2.25,1.666666667,7
2282,3,1,0,0,0,1,1,0,0,0,0,0,5,1,2.2,3,3.2,3.25,3,3.5,2.333333333,3
1049,2,0,0,1,0,1,1,0,0,0,0,0,12,2,2,2.5,2.8,2.75,3.25,2.5,1.75,2
1110,4,1,0,1,0,1,1,0,0,0,0,0,7,2,2.4,2.25,3.2,2.5,3.25,3.25,2.25,2
437,3,1,0,1,1,1,0,0,0,0,0,0,4,2,3.8,2.5,3,4,4,2.5,3.083333333,5
2176,9,1,1,1,1,1,1,1,1,1,0,0,5,2,1,1,1,1,1,1,0.833333333,4
792,2,1,0,1,0,1,1,1,1,0,0,0,9,2,3,3,3,3.5,3,3,2.5,7
1329,11,1,0,0,0,1,1,1,0,1,0,0,7,2,2.6,2,4.9,3.25,3,3.25,1.833333333,3
2053,10,1,0,0,0,1,1,0,1,0,1,0,5,1,3.8,2.25,4.6,3.25,3.25,2.75,2.416666667,6
1149,4,0,1,0,0,1,1,0,0,0,0,0,7,2,2.8,2.75,3,3,3.75,2.25,2.416666667,2
767,4,0,1,0,1,0,0,1,0,1,0,0,13,1,1.8,2,1.2,2,2.25,1.75,1.5,4
1000,3,1,0,1,0,0,1,0,1,0,0,0,6,2,1.4,1.25,1,1.75,1.5,1,1.166666667,2
1882,1,1,0,1,0,1,1,0,0,0,0,0,14,2,1.6,2.5,2.7,2.5,3.75,2.5,1.583333333,2
1330,3,1,0,1,0,1,1,1,1,0,0,0,14,2,2.2,2.25,2.9,2.5,4,2.5,1.833333333,7
1603,10,1,0,0,0,0,0,0,1,1,1,0,14,2,2.8,2.5,3.1,3.25,4,2.75,2.5,6
567,2,0,0,1,0,0,1,0,0,0,0,0,9,1,1.8,1.25,2.1,3.25,3.25,2.75,1.25,2
2227,3,1,0,1,0,1,1,1,1,0,0,0,12,1,1.4,1.75,2.1,2.5,2.25,2.5,1.25,7
483,4,1,0,0,0,1,0,0,1,0,0,0,5,1,3,3.25,4.5,4,3.5,3,3,5
1771,2,1,0,1,0,1,1,1,1,0,0,0,14,2,2.6,4.25,3.1,1.75,3.75,2,2.583333333,7
145,7,0,0,0,0,1,1,0,0,0,0,0,12,1,2,2.5,3.9,3.25,4,3,1.5,5
1021,8,0,0,0,0,1,1,0,0,0,0,0,14,1,3.4,2.5,3.4,2,3.5,3,2.083333333,5
740,4,1,0,0,0,1,1,1,0,1,0,0,6,2,2,2,2.1,2.75,3,2.5,1.416666667,3
535,9,1,0,0,0,1,0,1,0,0,0,0,12,1,2.6,4.5,3.9,4,2.25,4,3.333333333,1
1830,5,1,0,0,0,1,1,0,0,0,0,0,12,1,3.8,4,4.1,3.75,4,4,3.25,5
547,5,1,0,1,1,1,1,1,0,0,0,0,5,1,2,2,2.6,1.5,1.75,1.5,1.75,7
2013,5,1,0,1,1,1,1,1,1,0,0,0,3,1,2.4,2.5,3,2.5,3.25,3,2.25,7
776,8,0,0,0,0,0,1,0,0,0,1,0,6,1,3.2,4.25,3.3,1.75,3.25,3,2.833333333,6
704,5,0,0,0,0,1,1,1,1,0,0,0,7,2,2.6,2.5,3.2,3.25,3.5,2.75,1.833333333,2
1932,6,1,0,0,0,0,0,0,1,0,0,0,1,1,2.6,1.75,2.8,3.75,4,3.5,2.166666667,1
1464,4,1,0,0,0,1,1,1,0,1,0,0,5,2,4,2.25,3.9,3.25,2.25,2.5,2.583333333,3
298,3,0,0,0,0,1,0,0,0,0,0,0,1,1,3,3.25,3.4,2,2.75,2.5,2.666666667,5
500,7,1,0,0,0,0,0,0,0,0,0,0,11,2,2.8,2.5,3.4,3.75,3.25,3.75,2.583333333,1
688,4,0,0,1,0,1,1,0,1,0,0,0,6,1,3.4,2.75,3.6,3.25,3.5,3.25,2.416666667,2
1715,10,1,0,0,0,0,1,0,1,1,0,0,14,1,3.4,3.5,4.3,3.25,4,3.25,2.916666667,3
1408,6,1,0,0,0,1,1,1,1,1,0,0,14,1,3.8,2.75,2,1.75,3.75,2.5,2.666666667,3
1164,9,1,1,1,0,1,1,1,1,1,0,0,9,1,1,1,1,1.5,2,3,0.833333333,4
266,2,1,0,1,0,1,1,1,0,0,0,0,3,2,2.4,3,1.7,1.75,3.25,2.5,2.416666667,2
142,8,0,0,1,1,0,1,1,0,1,0,0,6,1,3,1.75,3.3,2,3.25,2.5,1.833333333,2
1438,3,1,0,0,0,1,1,1,1,1,0,0,14,1,3.2,2.75,2.7,2.25,2.75,2.75,2.666666667,3
8,11,0,1,0,0,1,1,1,1,1,0,0,8,2,2.4,2.25,2,2.25,3.25,2.5,2,4
870,4,1,1,1,1,1,1,1,1,0,0,0,8,1,3,2.25,1.7,1.25,1.5,1.5,2.083333333,4
114,5,1,1,1,1,1,1,1,1,0,0,0,12,1,2,2.5,2.9,2,2.75,2.25,1.75,4
1674,4,1,0,1,0,1,1,1,1,0,0,0,14,2,2.8,2.5,2.8,3.25,2.75,2.25,2.25,7
1698,6,1,0,0,0,0,1,0,0,1,0,0,10,2,3.6,2.25,2.3,2.5,3.5,2.5,2.416666667,1
2040,3,1,0,0,0,1,1,0,0,0,0,0,13,2,2.4,1.75,2.8,3.25,4,3.5,1.75,3
514,3,0,0,0,0,1,1,0,0,0,0,0,12,2,1.4,1.5,1.1,2,2,1.75,1.416666667,2
687,3,1,0,0,0,0,1,1,1,0,0,0,10,1,2,2.25,3.1,3,3.25,3.25,1.916666667,1
88,2,1,1,1,1,1,1,1,1,1,1,0,3,2,2.2,2,3.5,1.75,2,1.25,1.75,6
320,6,0,0,0,0,1,1,1,1,0,0,0,12,2,3,1.25,2.6,2.25,3.25,2.25,1.75,2
2125,6,1,0,0,0,1,1,1,1,1,0,0,7,2,3.4,3.5,3.8,2.75,3.5,3.25,2.5,3
1083,3,1,0,0,0,0,0,0,0,0,0,0,5,2,1,1,1,1,1,1,0.833333333,2
2095,4,1,0,0,0,1,1,1,0,0,0,0,10,2,2.4,2,1.1,2.25,1.25,3,1.833333333,2
1906,6,1,0,0,0,1,1,1,1,0,1,0,12,2,2.8,2,3.7,3.25,3.25,3.25,2.25,6
480,2,1,1,1,1,1,1,1,1,0,0,0,12,2,2,1.75,1.7,1.5,2.75,1.25,1.5,4
777,4,1,0,1,1,1,1,1,0,1,0,0,11,2,2.4,2.25,2,1.5,2,2,1.833333333,7
1143,2,1,0,1,0,1,1,0,0,0,0,0,1,1,1.4,5,2.2,3.25,4,3.25,2.583333333,3
135,8,0,0,1,0,1,0,0,0,0,0,0,8,1,2.8,2,2.5,2.25,3.5,2.5,1.916666667,5
641,4,1,0,1,0,1,1,1,1,0,0,0,9,1,2,2.25,3,1.5,3.5,2.75,1.75,7
505,4,1,0,1,0,1,1,0,1,0,0,0,4,1,3,3.25,3.4,2.75,2.75,3.75,2.666666667,3
1458,8,1,0,0,0,0,1,1,1,0,1,0,11,2,3.4,1.5,3.3,2.75,3.25,2.75,2.083333333,6
1088,5,0,0,1,0,1,1,0,0,0,0,0,10,1,2.4,2.5,1.7,2.25,3.25,3,1.75,2
1909,3,1,0,1,0,1,1,0,0,0,0,0,2,2,2.2,1.75,3.9,2.5,3.75,3.25,1.75,2
1353,3,1,0,0,0,0,1,0,0,1,0,0,6,1,1.2,2.25,2.5,3,2.5,2,1.583333333,1
364,8,0,0,0,0,1,0,1,0,0,0,0,9,1,2.8,3.75,4,3.5,2.75,3.25,3.083333333,1
1557,4,1,0,0,0,1,1,0,0,0,0,0,10,1,2.4,2.5,2.4,2.75,4,2,2.083333333,3
2246,3,1,0,0,1,1,1,0,1,0,0,0,11,1,2.6,2.75,2.8,1.75,3.25,2.5,2.416666667,7
1325,9,1,1,1,1,1,1,1,1,1,0,0,14,1,2.6,2.25,2.6,1.5,2,2.75,1.916666667,4
1421,5,1,0,1,1,1,1,1,1,1,0,0,14,2,2.6,2.25,2,1.75,3,1,1.916666667,7
1642,7,1,0,1,0,1,1,1,1,1,0,0,10,2,3.2,2,2.7,2.5,2.5,2.5,2.083333333,7
2297,6,1,0,0,0,1,1,0,1,1,0,0,13,1,2.6,3.25,3.1,2.75,2.75,3.5,2.25,3
2322,2,1,1,0,0,1,1,0,1,0,0,0,4,2,4.2,3.5,2.9,3,3,2.5,2.916666667,4
1779,6,1,0,0,1,1,1,1,0,0,0,0,14,1,3,2.25,2.9,2.75,3.5,2.5,1.916666667,3
2264,5,1,1,1,1,1,1,1,1,1,1,0,5,1,2.4,2,1.3,1,1.25,1.25,1.75,6
2312,6,1,1,1,1,1,1,1,1,1,0,0,7,2,3,2.25,1.5,1,1.5,1,2.083333333,4
2180,2,1,0,1,0,1,1,0,1,1,0,0,4,2,1.8,1.75,2.3,1.5,2.25,2,1.583333333,7
931,2,0,0,0,0,0,0,0,1,0,0,0,12,2,3.8,3.25,4,3.25,3.5,3.25,3.25,5
263,6,0,0,0,0,1,1,0,0,0,0,0,12,2,3.4,3.25,4.1,3.25,3,3,2.5,5
1778,2,1,0,1,0,0,0,0,1,0,0,0,9,2,1.4,2,2.9,3.75,3,2.25,1.75,2
35,2,0,0,0,0,0,0,0,0,0,0,1,7,1,2.4,2.5,1.5,3.25,3.25,2.75,2,8
887,3,1,1,1,0,1,0,0,0,0,0,0,3,1,1.2,1.75,1.5,2,2.5,3.25,1.416666667,2
110,7,0,0,1,0,1,1,1,1,0,0,0,14,1,2.8,3,2.9,2.75,3,3.25,2.25,2
262,8,1,0,0,1,1,1,1,0,0,0,0,8,1,2,3.75,4.5,2.5,2.25,2,2.416666667,7
910,2,1,0,1,0,1,0,1,0,0,0,0,2,1,2.2,3.75,3.5,2.75,3.5,2.5,2.583333333,1
1023,2,0,0,0,0,1,1,0,1,1,0,0,7,2,1.4,2,1.9,2,2.75,2.25,1.583333333,2
679,2,0,0,0,0,0,1,0,0,0,0,0,1,2,2.8,2.75,3.7,2.5,4,3.25,2.083333333,1
797,4,1,0,1,0,0,1,0,1,0,0,0,5,1,3.2,4,3.7,3,3.5,3.25,3.083333333,1
2074,5,1,0,0,0,1,1,0,1,0,0,0,8,2,2.2,1.5,2.2,3.25,3.25,1.75,1.5,2
23,3,0,0,1,0,0,1,1,0,1,0,0,14,1,2.6,3,2.4,2.75,3.75,2.5,2.416666667,1
361,6,1,0,1,0,0,1,0,0,0,0,0,6,2,2.4,2.75,2.4,1,1.5,2,2.25,2
2160,2,1,1,0,1,1,1,0,0,0,0,0,5,2,1.6,3,3.9,2.75,3.25,1.75,2.083333333,4
565,7,0,0,0,0,0,1,0,0,0,0,0,7,1,2,2.75,3,2.25,3.5,3.5,2.166666667,1
2386,2,1,1,1,0,0,0,0,0,0,0,0,1,1,2.6,2.25,1.8,2.25,3.25,2.75,2.166666667,2
1287,1,1,0,0,0,1,1,0,0,0,0,0,6,1,1.4,2.25,3.6,3.5,3.25,3.25,1.666666667,3
2076,5,1,0,0,0,1,1,0,0,0,0,0,13,1,3,2.75,3.9,2.5,3.5,2.25,2.416666667,3
1581,11,1,0,0,0,1,0,1,1,1,0,0,14,2,2.6,2.25,2.8,4,3.5,4,2.333333333,1
1720,7,1,1,0,0,1,1,0,0,0,0,0,10,1,3,2.25,3.1,2.25,2.75,2.5,2.083333333,7
1340,6,1,0,0,0,1,1,1,1,0,0,0,14,2,1.8,2,3.4,2.75,3.25,2.5,1.75,3
1500,8,1,1,0,1,0,1,1,1,1,0,0,11,2,3,2.25,2.5,2.25,4,2.25,2.25,4
1476,2,1,1,1,1,0,1,0,0,0,0,0,2,2,2,2,1.9,2.75,3.25,3.25,1.583333333,4
215,8,1,0,0,0,1,1,1,1,0,0,0,6,1,2.8,2.75,3.1,2.75,3.5,3,2.166666667,3
1435,5,1,0,0,0,1,1,0,0,0,0,0,6,1,2.4,1.5,2.2,2.25,3.5,2.75,1.416666667,3
2208,3,1,1,1,1,1,1,1,1,1,0,0,7,2,1.6,2.75,1.7,1.75,2,2,1.833333333,4
72,4,0,0,1,0,1,1,0,0,0,0,0,5,2,3.8,2.75,2.6,3.25,4,3.5,2.833333333,5
975,6,0,0,1,1,1,1,1,1,0,0,0,6,1,1.8,1.75,1.9,1.75,2.75,2.25,1.666666667,7
763,7,1,0,0,0,1,0,1,1,0,1,0,13,1,3.4,2.5,3.3,4,3.5,4,2.583333333,6
1960,3,1,0,0,0,1,1,1,0,0,0,0,6,2,2,2,2.9,2.5,3.5,2.5,1.25,3
1171,6,0,0,0,0,0,0,1,0,1,0,0,10,1,2.8,3,3.9,3.75,3,2.5,2.333333333,1
2374,2,1,0,1,1,1,1,0,1,0,0,0,11,1,3,3,3,2.75,2.75,2.25,2.75,7
1842,2,1,0,0,0,1,1,0,0,0,0,0,13,2,2.8,2.25,4.6,2.5,3,2.5,2,3
1785,7,1,0,0,0,0,1,1,0,1,0,0,13,1,2,3,3.8,3.25,2.75,3,1.916666667,1
1700,9,1,0,0,0,1,1,0,0,1,0,0,12,1,2.8,3.75,2.7,3.25,3.75,3.5,2.916666667,3
2255,5,1,1,1,1,1,1,1,1,1,0,0,14,1,2,2.75,2.1,1,1.75,1.75,2,4
1529,4,1,1,1,1,1,1,1,1,1,0,0,9,2,1,1,2,2,2.75,2.25,0.833333333,4
2035,7,1,0,0,0,0,1,1,1,1,1,0,9,2,3.4,2.75,4.5,3.25,4,2.75,2.833333333,6
771,2,0,0,0,0,1,0,0,0,0,0,0,14,2,1.2,2.25,2.4,3.25,3.25,3.25,1.416666667,2
993,7,0,0,1,0,1,1,0,1,1,0,0,14,2,3.2,2.5,2.8,2.75,3.5,3.5,2.5,2
1571,7,1,0,1,0,0,1,1,0,1,1,0,7,1,3.4,4,3.4,3,3,3.25,3.25,6
1691,8,1,0,0,0,1,1,1,1,1,0,0,5,1,3.2,2.25,3.2,2.25,2.75,3,2,3
230,2,0,0,0,0,0,0,0,1,0,0,0,7,2,1,1,1,1,1,1,0.833333333,2
2091,9,1,0,0,0,1,1,1,1,1,0,0,14,1,2.4,3,3.8,3,4,3.5,2.333333333,3
2360,6,1,0,1,0,1,1,1,0,0,0,0,2,1,3,3.25,2.2,3.25,3.5,3.75,2.666666667,7
2183,9,1,0,1,1,1,1,1,1,1,0,0,5,2,3.8,4,4.6,4,3.75,2.75,3.416666667,7
1689,4,1,0,1,0,1,1,0,0,0,1,0,8,2,2.4,2.5,2.8,2.75,2.25,1.75,2.166666667,6
591,2,0,0,0,0,1,1,0,0,0,0,0,4,1,2.8,2.75,2.3,3,3.25,3.5,2.166666667,5
1071,3,1,0,0,0,1,1,0,0,0,0,0,1,2,1.8,2.25,3.3,3,3.25,3.25,1.833333333,3
2353,3,1,1,1,1,1,1,1,1,1,0,0,14,2,3,3,2.7,2.5,2.75,2.25,2.5,4
1217,9,0,0,0,0,1,1,1,0,0,1,0,4,1,3.4,2.75,3.5,3,3.75,2.5,2.666666667,6
180,6,0,0,0,0,1,1,0,1,0,0,0,4,1,3,3,2.6,2.75,2.75,2.25,2.583333333,2
