"","TechAttitudeMean","TechUseSocialMean","ShoppingAttitudeMean","SocialWebMean","RadioWebMean","VideoWebMean","LeaderMean","Income","Clusters"
"1103",3.2,2.75,3.54545454545455,3,2.75,2.75,2.33333333333333,5,3
"610",1.8,2.75,2.45454545454545,3,3.5,3.25,2,6,1
"1543",3.2,1.5,4.72727272727273,2.75,3.25,2.75,2.16666666666667,9,2
"1373",3,3.25,4.18181818181818,2.75,3.5,3,2.66666666666667,1,3
"1375",1.8,2.25,1.45454545454545,2.75,3.5,2.5,1.41666666666667,12,1
"1428",2.6,2,3.27272727272727,3.5,3.75,2.75,2.33333333333333,14,2
"2242",3.2,4,2.63636363636364,3,3,3,3,11,3
"1588",2.8,2.75,4.18181818181818,2.25,3,2.25,2.5,7,2
"1193",3,2.75,4.18181818181818,3.5,4,3.25,2.25,6,1
"1553",1.8,2,4.18181818181818,2.75,3.25,2.75,1.75,12,2
"568",2.4,2.75,4.18181818181818,2.5,3.25,2.25,2.33333333333333,7,2
"1731",3.2,2.25,1.72727272727273,2,2.75,2,2.25,11,2
"1860",2.8,3,2.72727272727273,3,4,3.25,2.41666666666667,14,2
"163",3.4,3,2.63636363636364,3.25,3.25,2.75,2.83333333333333,8,3
"24",2.4,2.5,3.63636363636364,3,2.5,2.5,2.5,7,2
"2347",2.4,2.5,2.09090909090909,3.25,2.25,3.5,2,7,1
"493",3.6,3,3.63636363636364,3.5,3.25,3.5,2.91666666666667,6,3
"306",2.6,2,2.54545454545455,2.5,2.75,3.25,1.83333333333333,7,1
"862",3.6,2.5,2,3.25,3.25,3,2.5,11,3
"413",1.4,1.25,1.45454545454545,2.75,3,1.75,1.5,9,4
"616",1,2.25,2.81818181818182,2.5,2.5,3.25,1.25,2,1
"1074",2.2,2.75,2.90909090909091,2.25,3,2.5,1.83333333333333,9,2
"1114",3.6,3.25,3.09090909090909,2,2,1.75,2.83333333333333,2,2
"1031",3.2,3.25,2.36363636363636,2.5,3.5,2.5,2.66666666666667,9,2
"12",2.2,3,3.36363636363636,3.25,3.5,2.75,2.08333333333333,2,1
"1245",1,1,1.63636363636364,2.75,3,2.5,0.833333333333333,6,4
"1354",2.6,3.75,4.09090909090909,2.5,4,3.25,3.33333333333333,11,3
"710",2,1.75,1.54545454545455,1.75,1.5,1,1.5,8,4
"530",2,2,2.18181818181818,1.25,2.5,1.5,2,6,4
"1663",3.2,2.75,2.81818181818182,3.25,3.25,3.25,2.33333333333333,7,3
"1564",1.8,2,1.81818181818182,2,3,2.25,1.58333333333333,3,4
"2382",3,2.75,4.63636363636364,2.75,3.5,2.75,2.5,7,2
"1289",1.4,2.5,4.27272727272727,4,4,4,1.83333333333333,14,3
"1248",3.8,3.5,3.90909090909091,4,3,3,3.16666666666667,8,3
"1687",1.8,3,2.81818181818182,2.5,3,1.75,1.91666666666667,5,1
"2123",2.2,2.75,3.27272727272727,2.75,2,1.75,2,7,4
"999",3.2,2.75,3.36363636363636,4,3.5,3.25,3.16666666666667,11,3
"852",1.4,2.75,5.63636363636364,2.5,3.75,3.25,2.25,12,2
"31",1.2,1.75,1.72727272727273,1,3,2.75,1.16666666666667,12,4
"245",3.2,3.5,4.09090909090909,2,3,2.25,3,8,2
"1138",2.4,2.25,3.27272727272727,3,3.5,2.75,1.91666666666667,4,1
"646",4.4,4,4.09090909090909,3.25,3.5,3.5,3.5,11,3
"453",2,2,3.54545454545455,2.25,2,2,1.66666666666667,6,4
"842",4,4,3.18181818181818,3.25,4,3.5,3.08333333333333,11,3
"1162",2.6,2.25,3.09090909090909,3.25,3.75,3.25,1.66666666666667,14,1
"2225",2.8,3.25,2.36363636363636,3.25,3.5,3,2.58333333333333,12,3
"2078",3.4,2.75,3.90909090909091,1.75,3.75,2.25,2.66666666666667,6,2
"519",3.2,3.5,3.27272727272727,3.75,3,2.5,2.83333333333333,7,3
"1572",2.4,3,2.90909090909091,3.25,4,3.5,1.83333333333333,14,2
"1755",2.8,2,2.36363636363636,2.5,3.5,2.75,2.08333333333333,14,4
"2038",2.8,1.75,4.18181818181818,2.5,3.25,2.25,2,13,2
"1611",3.6,2.75,3.27272727272727,3.25,4,3.25,2.91666666666667,5,3
"1091",2,2.5,2.36363636363636,1,2.25,1.5,2.08333333333333,5,4
"269",1.4,1.75,1.27272727272727,2.5,2,1.75,1.25,11,4
"1371",3,2,1.63636363636364,2,4,2,2.08333333333333,3,1
"1576",2.6,4,2.72727272727273,3.25,3.25,3.25,2.66666666666667,9,3
"324",1.8,1.75,2.18181818181818,2.5,2.75,2.75,1.41666666666667,7,4
"1390",2.8,2,3.18181818181818,3.25,3.25,3.5,2.08333333333333,1,1
"133",1,1.25,1.54545454545455,2.5,2.5,2.5,0.916666666666667,8,4
"2006",2.8,2.25,4.54545454545455,2.25,3,2.25,1.83333333333333,4,2
"2224",2.2,1.75,3.54545454545455,2.5,1.75,1.75,1.66666666666667,6,4
"1530",2.4,2.75,3,3.5,4,4,2.25,5,1
"989",2.6,3,2.54545454545455,2.75,3.5,3,2.25,9,3
"596",1,1.25,1.36363636363636,1.25,1.75,1.5,1,13,4
"1312",2.2,1.75,3.54545454545455,2,4,2,1.66666666666667,12,4
"1608",1.4,2.25,2.18181818181818,3.25,3.5,2.25,1.66666666666667,9,4
"2282",2.2,3,3.09090909090909,3.25,3,3.5,2.33333333333333,5,1
"1049",2,2.5,2.63636363636364,2.75,3.25,2.5,1.75,12,1
"1110",2.4,2.25,3.09090909090909,2.5,3.25,3.25,2.25,7,1
"437",3.8,2.5,3.18181818181818,4,4,2.5,3.08333333333333,4,3
"2176",1,1,1,1,1,1,0.833333333333333,5,4
"792",3,3,3,3.5,3,3,2.5,9,3
"1329",2.6,2,4.54545454545455,3.25,3,3.25,1.83333333333333,7,2
"2053",3.8,2.25,4.27272727272727,3.25,3.25,2.75,2.41666666666667,5,3
"1149",2.8,2.75,2.90909090909091,3,3.75,2.25,2.41666666666667,7,1
"767",1.8,2,1.18181818181818,2,2.25,1.75,1.5,13,4
"1000",1.4,1.25,1.09090909090909,1.75,1.5,1,1.16666666666667,6,4
"1882",1.6,2.5,2.54545454545455,2.5,3.75,2.5,1.58333333333333,14,4
"1330",2.2,2.25,2.72727272727273,2.5,4,2.5,1.83333333333333,14,4
"1603",2.8,2.5,3.36363636363636,3.25,4,2.75,2.5,14,2
"567",1.8,1.25,2.18181818181818,3.25,3.25,2.75,1.25,9,1
"2227",1.4,1.75,2,2.5,2.25,2.5,1.25,12,4
"483",3,3.25,4.63636363636364,4,3.5,3,3,5,3
"1771",2.6,4.25,3,1.75,3.75,2,2.58333333333333,14,1
"145",2,2.5,3.63636363636364,3.25,4,3,1.5,12,1
"1021",3.4,2.5,3.18181818181818,2,3.5,3,2.08333333333333,14,2
"740",2,2,2,2.75,3,2.5,1.41666666666667,6,4
"535",2.6,4.5,4.09090909090909,4,2.25,4,3.33333333333333,12,3
"1830",3.8,4,4.09090909090909,3.75,4,4,3.25,12,3
"547",2,2,2.45454545454545,1.5,1.75,1.5,1.75,5,4
"2013",2.4,2.5,2.81818181818182,2.5,3.25,3,2.25,3,1
"776",3.2,4.25,3.09090909090909,1.75,3.25,3,2.83333333333333,6,2
"704",2.6,2.5,3,3.25,3.5,2.75,1.83333333333333,7,1
"1932",2.6,1.75,3,3.75,4,3.5,2.16666666666667,1,1
"1464",4,2.25,3.63636363636364,3.25,2.25,2.5,2.58333333333333,5,3
"298",3,3.25,3.36363636363636,2,2.75,2.5,2.66666666666667,1,2
"500",2.8,2.5,3.54545454545455,3.75,3.25,3.75,2.58333333333333,11,3
"688",3.4,2.75,3.36363636363636,3.25,3.5,3.25,2.41666666666667,6,3
"1715",3.4,3.5,4.18181818181818,3.25,4,3.25,2.91666666666667,14,3
"1408",3.8,2.75,1.90909090909091,1.75,3.75,2.5,2.66666666666667,14,2
"1164",1,1,1,1.5,2,3,0.833333333333333,9,4
"266",2.4,3,1.81818181818182,1.75,3.25,2.5,2.41666666666667,3,1
"142",3,1.75,3.18181818181818,2,3.25,2.5,1.83333333333333,6,2
"1438",3.2,2.75,2.72727272727273,2.25,2.75,2.75,2.66666666666667,14,2
"8",2.4,2.25,2.09090909090909,2.25,3.25,2.5,2,8,2
"870",3,2.25,1.63636363636364,1.25,1.5,1.5,2.08333333333333,8,4
"114",2,2.5,2.90909090909091,2,2.75,2.25,1.75,12,4
"1674",2.8,2.5,2.63636363636364,3.25,2.75,2.25,2.25,14,2
"1698",3.6,2.25,2.18181818181818,2.5,3.5,2.5,2.41666666666667,10,2
"2040",2.4,1.75,2.63636363636364,3.25,4,3.5,1.75,13,1
"514",1.4,1.5,1.18181818181818,2,2,1.75,1.41666666666667,12,4
"687",2,2.25,3,3,3.25,3.25,1.91666666666667,10,1
"88",2.2,2,3.54545454545455,1.75,2,1.25,1.75,3,4
"320",3,1.25,2.45454545454545,2.25,3.25,2.25,1.75,12,4
"2125",3.4,3.5,3.54545454545455,2.75,3.5,3.25,2.5,7,3
"2095",2.4,2,1.09090909090909,2.25,1.25,3,1.83333333333333,10,4
"1906",2.8,2,3.63636363636364,3.25,3.25,3.25,2.25,12,2
"480",2,1.75,1.63636363636364,1.5,2.75,1.25,1.5,12,4
"777",2.4,2.25,2,1.5,2,2,1.83333333333333,11,4
"1143",1.4,5,2.09090909090909,3.25,4,3.25,2.58333333333333,1,3
"135",2.8,2,2.36363636363636,2.25,3.5,2.5,1.91666666666667,8,2
"641",2,2.25,2.81818181818182,1.5,3.5,2.75,1.75,9,4
"505",3,3.25,3.36363636363636,2.75,2.75,3.75,2.66666666666667,4,3
"1458",3.4,1.5,3.27272727272727,2.75,3.25,2.75,2.08333333333333,11,2
"1088",2.4,2.5,1.63636363636364,2.25,3.25,3,1.75,10,1
"1909",2.2,1.75,3.72727272727273,2.5,3.75,3.25,1.75,2,1
"1353",1.2,2.25,2.36363636363636,3,2.5,2,1.58333333333333,6,4
"364",2.8,3.75,4.09090909090909,3.5,2.75,3.25,3.08333333333333,9,3
"1557",2.4,2.5,2.36363636363636,2.75,4,2,2.08333333333333,10,2
"2246",2.6,2.75,2.81818181818182,1.75,3.25,2.5,2.41666666666667,11,2
"1325",2.6,2.25,2.45454545454545,1.5,2,2.75,1.91666666666667,14,4
"1421",2.6,2.25,1.90909090909091,1.75,3,1,1.91666666666667,14,2
"1642",3.2,2,2.72727272727273,2.5,2.5,2.5,2.08333333333333,10,2
"2297",2.6,3.25,3,2.75,2.75,3.5,2.25,13,2
"2322",4.2,3.5,2.90909090909091,3,3,2.5,2.91666666666667,4,3
"1779",3,2.25,2.72727272727273,2.75,3.5,2.5,1.91666666666667,14,2
"2264",2.4,2,1.27272727272727,1,1.25,1.25,1.75,5,4
"2312",3,2.25,1.45454545454545,1,1.5,1,2.08333333333333,7,4
"2180",1.8,1.75,2.27272727272727,1.5,2.25,2,1.58333333333333,4,4
"931",3.8,3.25,4.09090909090909,3.25,3.5,3.25,3.25,12,3
"263",3.4,3.25,3.81818181818182,3.25,3,3,2.5,12,3
"1778",1.4,2,3.18181818181818,3.75,3,2.25,1.75,9,2
"35",2.4,2.5,1.63636363636364,3.25,3.25,2.75,2,7,1
"887",1.2,1.75,1.54545454545455,2,2.5,3.25,1.41666666666667,3,4
"110",2.8,3,2.81818181818182,2.75,3,3.25,2.25,14,2
"262",2,3.75,4.18181818181818,2.5,2.25,2,2.41666666666667,8,2
"910",2.2,3.75,3.36363636363636,2.75,3.5,2.5,2.58333333333333,2,3
"1023",1.4,2,1.90909090909091,2,2.75,2.25,1.58333333333333,7,4
"679",2.8,2.75,3.45454545454545,2.5,4,3.25,2.08333333333333,1,3
"797",3.2,4,3.63636363636364,3,3.5,3.25,3.08333333333333,5,3
"2074",2.2,1.5,2.09090909090909,3.25,3.25,1.75,1.5,8,1
"23",2.6,3,2.36363636363636,2.75,3.75,2.5,2.41666666666667,14,2
"361",2.4,2.75,2.36363636363636,1,1.5,2,2.25,6,4
"2160",1.6,3,3.63636363636364,2.75,3.25,1.75,2.08333333333333,5,1
"565",2,2.75,2.81818181818182,2.25,3.5,3.5,2.16666666666667,7,1
"2386",2.6,2.25,1.90909090909091,2.25,3.25,2.75,2.16666666666667,1,1
"1287",1.4,2.25,3.63636363636364,3.5,3.25,3.25,1.66666666666667,6,1
"2076",3,2.75,3.72727272727273,2.5,3.5,2.25,2.41666666666667,13,2
"1581",2.6,2.25,3,4,3.5,4,2.33333333333333,14,2
"1720",3,2.25,2.90909090909091,2.25,2.75,2.5,2.08333333333333,10,2
"1340",1.8,2,3.27272727272727,2.75,3.25,2.5,1.75,14,4
"1500",3,2.25,2.45454545454545,2.25,4,2.25,2.25,11,2
"1476",2,2,1.81818181818182,2.75,3.25,3.25,1.58333333333333,2,1
"215",2.8,2.75,2.90909090909091,2.75,3.5,3,2.16666666666667,6,1
"1435",2.4,1.5,2.09090909090909,2.25,3.5,2.75,1.41666666666667,6,4
"2208",1.6,2.75,1.72727272727273,1.75,2,2,1.83333333333333,7,4
"72",3.8,2.75,2.72727272727273,3.25,4,3.5,2.83333333333333,5,3
"975",1.8,1.75,1.81818181818182,1.75,2.75,2.25,1.66666666666667,6,4
"763",3.4,2.5,3.54545454545455,4,3.5,4,2.58333333333333,13,3
"1960",2,2,2.72727272727273,2.5,3.5,2.5,1.25,6,1
"1171",2.8,3,4.09090909090909,3.75,3,2.5,2.33333333333333,10,2
"2374",3,3,3,2.75,2.75,2.25,2.75,11,2
"1842",2.8,2.25,4.27272727272727,2.5,3,2.5,2,13,2
"1785",2,3,3.54545454545455,3.25,2.75,3,1.91666666666667,13,3
"1700",2.8,3.75,2.63636363636364,3.25,3.75,3.5,2.91666666666667,12,3
"2255",2,2.75,2.18181818181818,1,1.75,1.75,2,14,4
"1529",1,1,1.90909090909091,2,2.75,2.25,0.833333333333333,9,4
"2035",3.4,2.75,4.54545454545455,3.25,4,2.75,2.83333333333333,9,2
"771",1.2,2.25,2.36363636363636,3.25,3.25,3.25,1.41666666666667,14,1
"993",3.2,2.5,2.81818181818182,2.75,3.5,3.5,2.5,14,2
"1571",3.4,4,3.54545454545455,3,3,3.25,3.25,7,3
"1691",3.2,2.25,3,2.25,2.75,3,2,5,1
"230",1,1,1,1,1,1,0.833333333333333,7,4
"2091",2.4,3,3.63636363636364,3,4,3.5,2.33333333333333,14,3
"2360",3,3.25,2.27272727272727,3.25,3.5,3.75,2.66666666666667,2,3
"2183",3.8,4,4.72727272727273,4,3.75,2.75,3.41666666666667,5,3
"1689",2.4,2.5,2.63636363636364,2.75,2.25,1.75,2.16666666666667,8,4
"591",2.8,2.75,2.18181818181818,3,3.25,3.5,2.16666666666667,4,3
"1071",1.8,2.25,3.18181818181818,3,3.25,3.25,1.83333333333333,1,1
"2353",3,3,2.72727272727273,2.5,2.75,2.25,2.5,14,2
"1217",3.4,2.75,3.54545454545455,3,3.75,2.5,2.66666666666667,4,3
"180",3,3,2.54545454545455,2.75,2.75,2.25,2.58333333333333,4,1
"1998",1.6,1.25,3.09090909090909,2.75,2.5,2.75,1.25,2,1
"1613",2.8,2,3.09090909090909,1.75,3.25,2,2.25,13,2
"800",3,3,3.27272727272727,3.25,3.75,4,2.5,6,3
"430",2.6,3.75,3.54545454545455,3,3.75,2.25,3,11,3
"240",2,2.5,2.72727272727273,2.25,2.75,2,2.08333333333333,9,4
"680",3.8,3.25,3.45454545454545,3,3.75,3.75,3.08333333333333,4,3
"15",3.4,4.25,3.36363636363636,3.25,3.5,3.5,2.83333333333333,7,3
"1589",3.6,2.75,4,1.75,3.5,2.5,2.41666666666667,14,2
"414",3.6,3.25,4.27272727272727,4,3,3,2.83333333333333,11,3
"44",3.6,3.75,3.63636363636364,3,3,3.25,3.33333333333333,2,3
"1843",2,3,1.90909090909091,2.5,3,3,1.91666666666667,10,1
"355",1.8,3,3.45454545454545,4,3.5,3.75,2.16666666666667,11,3
"214",2.6,2,2.09090909090909,3,3.5,3,1.91666666666667,5,1
"243",3,6,5.54545454545455,3.25,4,3.25,3.75,3,3
"267",3.6,3,3.45454545454545,1.75,3.25,1.75,2.91666666666667,1,2
"2069",1.8,2.5,3.63636363636364,2.5,4,3.25,1.83333333333333,10,1
"625",1.6,1,2.36363636363636,1.75,1.75,1.25,1.16666666666667,6,4
"1829",2.6,2.25,3.81818181818182,2.25,3,2.5,1.91666666666667,12,2
"1450",3,2.25,3.63636363636364,2.75,3,3,2.25,14,2
"714",2.2,2.25,2,1.25,2.25,2,1.75,5,4
"1528",1.2,2.5,3.45454545454545,2.25,2.75,2,1.5,9,4
"1533",3.2,5,3.45454545454545,3,4,3.25,3.66666666666667,7,3
"1671",2.2,2.5,2.63636363636364,2.75,3.5,2.75,1.75,9,1
"1047",4.2,2.75,2.81818181818182,2.5,3.5,3.5,2.66666666666667,3,3
"492",2.4,2.5,2.36363636363636,2.25,3.25,2,2.08333333333333,12,2
"1527",1.6,2,2.27272727272727,2.5,3.5,2,1.58333333333333,12,4
"1418",2.6,2.25,3.45454545454545,2.25,3.25,2,2,12,2
"404",2.2,1.75,2.36363636363636,3,3.25,2.5,1.83333333333333,9,1
"274",3,1.75,2.63636363636364,2.25,4,2.75,2.08333333333333,14,4
"2260",2,2,1,2.75,3.25,1.75,1.58333333333333,12,4
"1794",2.2,2.25,3,3,4,2.75,1.83333333333333,1,1
"1954",1.6,3,3,3,3,2,1.91666666666667,6,1
"1536",1,2.5,3.54545454545455,3.25,3.5,3.25,1.66666666666667,7,1
"1314",2.2,2,2.09090909090909,3,3.25,3,1.66666666666667,1,1
"36",2.6,3,3.18181818181818,2.5,3.25,3,2.41666666666667,12,2
"1009",2.2,3.25,3.18181818181818,4,3.75,3.25,2.83333333333333,6,3
"2252",3.4,2.25,3.45454545454545,2.75,2.5,1.75,2.58333333333333,10,1
"1545",3.4,2.25,2.72727272727273,2.5,3,2.75,2,7,1
"1921",3,3,3,2.25,3.25,2.75,2.5,1,1
"442",2,2.25,3.45454545454545,1.75,1.75,2.75,1.66666666666667,11,4
"799",2,2,1.90909090909091,2.75,2.5,3,1.58333333333333,10,1
"1640",3.4,2.75,2.90909090909091,2.75,3.75,3,2.25,8,3
"2221",3.4,1.75,4.09090909090909,4,2.75,3,2.5,6,3
"1286",2.4,3,3.63636363636364,3,2.75,3.25,2.41666666666667,4,1
"1648",3.4,3.25,3.45454545454545,2.5,3.75,3.25,2.91666666666667,1,3
"1264",3.2,2,2.63636363636364,3.25,3.25,3.5,2.16666666666667,6,3
"1368",2.6,2.75,4.90909090909091,3,3,2.5,2.58333333333333,14,2
"1987",3.2,2.75,2.72727272727273,3.25,3.25,2.75,2.5,5,3
"1184",2.4,2.5,1.90909090909091,2.5,3.25,2.5,2,5,1
"2081",2.4,3.25,2.18181818181818,3.25,4,3.25,2.5,2,3
"411",2,1,1.54545454545455,2.75,3.25,3.25,1.25,12,1
"1122",3.6,3.25,2.72727272727273,2.75,3.25,2.5,3.16666666666667,10,2
"1185",1,1,1,1,1,1,0.833333333333333,9,4
"1684",1.6,3.75,3.45454545454545,2.5,4,2.75,2,14,1
"1269",3.2,2,2.09090909090909,3.25,3.75,2.75,1.91666666666667,4,1
"323",1.6,1.5,2,1.5,1.5,1.5,1.16666666666667,9,4
"1017",3.6,2.75,4.27272727272727,4,3.5,3,2.66666666666667,1,3
"5",2.8,3.25,3,3,4,3.25,2.41666666666667,2,3
"753",2,1,1.63636363636364,3.25,3.5,3.25,1.25,4,1
"285",2.8,1.5,2.45454545454545,2.75,3.25,3.25,1.91666666666667,6,1
"1202",4,3.75,4,1,1,1,3.5,5,4
"1951",2.6,2.75,3.72727272727273,2.25,2.75,3,2.5,6,2
"1646",3.2,3,3.54545454545455,2.25,3.25,2.75,2.75,8,2
"2022",1.6,1.25,2,3.25,3.5,3.5,1.16666666666667,9,1
"99",2.6,3.5,3.81818181818182,3.5,3.75,3.25,2.33333333333333,9,3
"216",2.4,2,1.72727272727273,3.5,3.5,3.5,1.83333333333333,10,1
"676",3,3,2.72727272727273,2.25,3,2.5,2.33333333333333,5,1
"2366",2.2,2.75,1.81818181818182,2,2.5,2.5,2.08333333333333,10,4
"196",3.2,4,3.54545454545455,3,3.75,3.5,2.66666666666667,2,3
"282",1.6,1.75,2.27272727272727,2.25,2.25,2,1.41666666666667,4,4
"725",1.6,1.75,2,2.25,3,2.5,1.41666666666667,9,4
"182",2,1.25,2.54545454545455,1,1,1.5,1.33333333333333,10,4
"1662",2,2,2.36363636363636,2.5,3.75,3.5,1.75,7,1
"566",3.8,4.5,4.81818181818182,3.75,3,3.5,3.58333333333333,5,3
"2135",2.8,2.25,2.72727272727273,3.25,2.5,2.25,2,10,2
"2151",1,2.5,1.63636363636364,1.75,1.5,1.5,1.41666666666667,7,4
"2164",3.4,3.5,3.36363636363636,2,1.75,1.5,2.83333333333333,7,1
"1970",2,2,4.18181818181818,2.75,2.75,2.75,1.91666666666667,5,1
"711",2,2.25,2.45454545454545,1.25,2,1.5,1.75,5,4
"393",3.2,3,4.36363636363636,2,2.5,2.25,2.5,3,2
"570",4.2,4.5,4.18181818181818,3.25,3.25,3.75,3.25,12,3
"2351",2,2.25,2.27272727272727,2.5,2.75,1.75,1.58333333333333,4,4
"731",3.2,2.75,3.63636363636364,2,2,2.25,2.83333333333333,4,2
"1344",2.8,2,2.63636363636364,3,2.5,2.5,2.08333333333333,5,4
"2065",3.2,2.5,1.63636363636364,3.25,3,2,2.25,7,1
"689",1.6,2,1.45454545454545,2.5,2.5,1.75,1.5,12,4
"1782",3.2,3.25,3.81818181818182,2.25,3.25,2.75,2.58333333333333,11,2
"381",3,3,3.90909090909091,1,1,1,2.5,5,4
"201",2.4,2.5,3.72727272727273,3,3.5,2.75,2,5,1
"2375",4.4,4,4.90909090909091,4,4,3.75,3.33333333333333,9,3
"575",3.4,3.25,2.72727272727273,2.25,2.25,1.5,2.83333333333333,3,2
"905",4,3.25,3.27272727272727,3.5,3.75,2.5,3,14,3
"2051",2.8,3,2.81818181818182,3.25,3,1.75,2.58333333333333,1,1
"2232",2.4,3,2.27272727272727,2.75,2.25,2.5,2.16666666666667,8,4
"1178",2.4,3.75,5.90909090909091,2.25,1.75,2.75,2.25,9,2
"1028",2.4,2.5,2.45454545454545,2.5,2,2.5,1.91666666666667,5,4
"1643",2.6,2,2.36363636363636,1.75,3.75,2.5,1.91666666666667,14,4
"1552",2.6,2.75,2.81818181818182,2.25,3.5,2.75,1.83333333333333,8,2
"1076",1.2,1,1.45454545454545,2.25,2.75,2.75,0.916666666666667,5,4
"1694",2.2,3.5,3.81818181818182,2.75,3.25,3.25,2.66666666666667,12,3
"18",2.4,2,3.45454545454545,3.25,2.25,2,2.16666666666667,11,2
"1144",3,3.75,3.54545454545455,4,4,3.75,3.25,10,3
"1283",2.8,3.75,4.18181818181818,3.25,2,3.25,2.75,14,3
"538",2,1.5,1.72727272727273,2.75,2.5,2.25,1.16666666666667,4,4
"937",1,1,1.18181818181818,2,2,4,0.833333333333333,4,4
"1377",2.8,2.75,2.90909090909091,1.25,3.75,2,2.58333333333333,6,2
"93",1.8,2,2.54545454545455,2.5,3.25,2,1.33333333333333,12,4
"107",1.2,2,1.54545454545455,3.75,3.5,3.75,1.33333333333333,10,1
"992",2.2,2.75,1.45454545454545,3.25,4,3,1.91666666666667,3,1
"1347",3,2.5,3.81818181818182,2.5,3.25,3,2.41666666666667,9,2
"2338",2,2,2,3,3,3,1.66666666666667,1,1
"348",2.2,1.75,2.72727272727273,2.25,2.25,2.25,1.83333333333333,7,4
"239",4,4,4.90909090909091,2.5,3,3.25,3.33333333333333,3,3
"1180",1.6,2,2,2.5,3.25,2.75,1.41666666666667,4,4
"450",1.8,2.25,1.63636363636364,2.25,1.25,2.5,1.16666666666667,4,4
"1862",3.2,3.75,3.36363636363636,3.25,4,3.5,2.75,6,3
"2086",2,2.25,2.72727272727273,3,4,3.25,1.75,9,1
"1874",3,2.5,2.90909090909091,1.75,3.25,2.25,2.25,12,2
"290",3,2.25,2.81818181818182,3,3,2,2.16666666666667,10,2
"2070",1.4,2,2.27272727272727,2,2.25,1.75,1.33333333333333,10,4
"98",3.4,3.25,2.09090909090909,2.75,2.75,3,2.91666666666667,14,3
"1342",2.6,3.5,3.45454545454545,1.75,3.5,2.5,2.58333333333333,10,2
"599",2.4,3,3.81818181818182,4,3.5,4,2.83333333333333,10,3
"2303",2.8,2.75,2.09090909090909,2,2.75,2.5,2.41666666666667,5,1
"1814",2.8,3,3.18181818181818,2,2.75,2.25,2.66666666666667,14,1
